Japanese,English
内閣総理大臣,Prime Minister
国務大臣,Minister of State
内閣官房,Cabinet Secretariat
内閣官房長官,Chief Cabinet Secretary
内閣官房副長官,Deputy Chief Cabinet Secretary
内閣危機管理監,Deputy Chief Cabinet Secretary for Crisis Management
内閣官房副長官補,Assistant Chief Cabinet Secretary
内閣広報官,Cabinet Public Relations Secretary
内閣審議官,"Councillor, Cabinet Secretariat"
内閣参事官,"Counsellor, Cabinet Secretariat"
内閣事務官,Cabinet Official
内閣技官,Cabinet Technical Official
内閣官房参与,Special Advisor to the Cabinet
内閣総務官室,Cabinet Affairs Office
総理大臣官邸事務所,Office of the Prime Minister's Official Residence
内閣広報室,Cabinet Public Relations Office
内閣情報調査室,Cabinet Intelligence and Research Office
内閣衛星情報センター,Cabinet Satellite Intelligence Center
人事院事務総局,Secretariat of National Personnel Authority
公務員研修所,National Institute of Public Administration
地方事務局,Regional Bureau
地方事務所,Local Office
室（局付・課付共）,Office
次長・各審議官,Deputy Director General
課内室長,Head ～Office
課長補佐（総括）,Deputy Director
課長補佐,Assistant Director
参事官補佐（総括）,Deputy Director to the Counselor
参事官補佐,Assistant Director to the Counselor
上席～専門官,Chief ～Officer
主任～専門官,Senior ～Officer
主査（司書）,Unit Chief
法律顧問,Legal Adviser
総裁秘書官,Secretary to the President
事務総長,Secretary General
事務総局,Secretariat of National Personnel Authority
総括審議官,Director General for Secretariat’s Policy Matters
総合調整官,Counselor for General Coordination
総務課長,"Director, General Affairs Division"
人事官秘書,Secretary to the Commissioner
事務総長秘書,Secretary to the Secretary General
校査作成係,Printing and Binding Unit
国会連絡主幹,Senior Diet Liaison Officer
広報情報室長,Head of Public Relations & Information Office
情報管理専門官,Assistant Director for Information Management
情報公開専門官,Assistant Director for Information Disclosure
広報専門官,Assistant Director for Public Relations
人事院図書館長,Head of NPA Library
図書館書司,Librarian of NPA Library
調査研究官,Research Officer
企画法制課長,"Director, Planning and Legal Affairs Division"
企画専門官,Planning Officer
法制調査室長,Head of Legal Examination & Research Office
主任法令審査官,Senior Legal Examination Officer
法令審査官,Legal Examination Officer
主任法令調査官,Senior Legal Research Officer
法令調査官,Legal Research Officer
人事課長,"Director, Personnel Division"
人事企画官,Personnel Planning Officer
人事第一係,First Personnel Unit
人事第二係,Second Personnel Unit
給与第一係,First Remuneration Unit
給与第二係,Second Remuneration Unit
能率厚生管理室長,Head of Welfare and Employee Development Office
会計課長,"Director, Financial Affairs Division"
上席経理監査官,Chief Accounting Inspector
支出負担行為係,Payment Unit
経理監査室,Accounting Inspectors Office
職員福祉局,Employee Welfare Bureau
職員団体審議官,Deputy Director General for Employee Organizations’ Affairs
上席連絡調整官,Chief Liaison and Coordination Officer
連絡調整官,Liaison and Coordination Officer
主任職員団体調査官,Senior Research Officer for Employee Organizations’ Affairs
職員団体調査官,Research Officer for Employee Organizations’ Affairs
参事官（女性等）,Counselor for Women’s Affairs
企画研究官,Policy Planning & Research Officer
参事官（ＩＴ）,Counselor for Information Technologies
上席情報システム専門官,Chief Information Systems Officer
主任情報システム専門官,Senior Information Systems Officer
情報システム専門官,Information Systems Officer
職員福祉課長,"Director, Working Hours and Welfare Division"
勤務時間第一班,First Working Hours Section
勤務時間第二班,Second Working Hours Section
調査研究班,Research Section
育児休業専門官,Child Care Leave Officer
福祉専門官,Welfare Officer
健康安全対策推進室長,"Head, Health and Safety Measures Promotion Office"
健康管理専門官,Health Control Officer
安全管理専門官,Safety Control Officer
主任勤務条件調査官,Senior Working Condition Research Officer
勤務条件調査官,Working Condition Research Officer
審査課長,"Director, Inspection Division"
上席審査官,Chief Inspector
監査調整班,Audit Coordination Section
職員団体班,Employee Organizations Section
主任審査官,Senior Inspector
監査室長,Head of Audit Office
主任監査官,Senior Auditor
補償課長,"Director, Accident Compensation Division"
上席災害補償専門官,Chief Accident Compensation Officer
主任災害補償専門官,Senior Accident Compensation Officer
災害補償専門官,Accident Compensation Officer
主任脳・心臓疾患認定指導官,Senior Brain and Heart Disease Advising Officer
脳・心臓疾患認定指導官,Brain and Heart Disease Advising Officer
精神疾患等認定指導官,Mental Disease Advising Officer
損害賠償調整指導官,Damage Compensation Coordination Officer
主任年金管理専門官,Senior Annuity Administrative Officer
生涯設計課長,"Director, Life Planning Division"
生涯設計企画官,Life Planning Policy & Coordination Officer
主任生涯設計専門官,Senior Life Planning Officer
生涯設計専門官,Life Planning Officer
主任雇用専門官,Senior Employment Policy Planning Officer
雇用専門官,Employment Policy Planning Officer
主任所得専門官,Senior Income Policy Planning Officer
所得専門官,Income Policy Planning Officer
再任用指導官,Re-employment Advising Officer
国際課長,"Director, International Affairs Division"
上席国際専門官,Chief International Affairs Officer
主任国際専門官,Senior International Affairs Officer
国際専門官,International Affairs Officer
主任国際研究官,Senior International Affairs Research Officer
国際研究官,International Affairs Research Officer
人材局長,Director General
試験審議官,Deputy Director General for Examination
企画課長,"Director, Recruitment Policy Division"
任用調査班,Research Section
任用指導官,Recruitment & Appointment Consulting Officer
採用指導官,Recruitment Consulting Officer
主任人事交流企画官,Senior Personnel Interchange Planning Officer
人事交流企画官,Personnel Interchange Planning Officer
主任人事交流専門官,Senior Personnel Interchange Officer
人事交流専門官,Personnel Interchange Officer
人材確保対策室長,"Head, Office of Policy Planning for Recruitment"
